deviceId;deviceName;Dictionary;Load;Count;Sort;Config;Reshape;Build;TreeMemory;TreeLevels;Depth;TreeMemoryUniqueOnly;ChildrenMemory;ChildrenCountsMemory;ScanMemory;PreScanMemory;PermuationMemory;LengthsMemory;MasksPartsMemory;ContainerSumMemory;ContainerItemsMemory;ContainerStartsMemory;ContainerLengthsMemory;Find;Match;RandomCount;RandomMatch;RandomSort;RandomSortedMatch;HitRate;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_australia_012016.txt;4.762912;565949;3.598816;{2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1};2.419456;37.307102;10142928;{1,8,29,40,56,99,158,282,683,2220,8364,32937,222,139,57,4,};16;3351540;724840;64;64;64;2263796;2263796;2263796;2626508;2263796;181388;181324;1.395968;1.036512;100000;0.399200;12.322656;0.415232;0.000000;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;5.008672;576846;3.603904;{16, 15};2.260384;11.069568;9502320;{1,1320,};2;2580168;262152;8;8;8;2307384;2307384;2307384;2317992;2307384;5308;5300;29.830561;122.193024;100000;34.779839;3.122048;31.485184;0.173356;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;5.008672;576846;3.603904;{16, 8, 7};2.168256;13.038848;10866520;{1,1320,1560,};3;3944368;1613840;12;12;12;2307384;2307384;2307384;2330492;2307384;11560;11548;28.632481;112.883293;100000;32.396225;2.385312;31.453760;0.173356;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;5.008672;576846;3.603904;{16, 8, 4, 3};2.136832;14.648480;10966768;{1,1320,1560,46,};4;4044616;1713688;16;16;16;2307384;2307384;2307384;2330880;2307384;11756;11740;28.581600;112.823517;100000;32.598209;2.942560;31.648960;0.173356;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;5.008672;576846;3.603904;{8, 8, 15};2.091072;12.043488;9294904;{1,52,1320,};3;2372752;54288;12;12;12;2307384;2307384;2307384;2318428;2307384;5528;5516;0.463904;0.482144;100000;0.264896;2.060192;0.235840;0.173356;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;5.008672;576846;3.603904;{8, 8, 8, 7};2.092960;14.148288;10659104;{1,52,1320,1560,};4;3736952;1405976;16;16;16;2307384;2307384;2307384;2330928;2307384;11780;11764;0.508992;0.511840;100000;0.290880;2.865600;0.243808;0.173356;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;5.008672;576846;3.603904;{8, 8, 4, 4, 7};2.128928;16.882433;10053408;{1,52,1320,9187,1560,};5;3131256;726752;20;20;20;2307384;2307384;2307384;2404444;2307384;48540;48520;0.596512;0.559808;100000;0.291488;3.487072;0.254688;0.173356;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;5.008672;576846;3.603904;{8, 8, 4, 2, 2, 7};2.135456;18.833183;10423240;{1,52,1320,9187,33782,1560,};6;3501088;826296;24;24;24;2307384;2307384;2307384;2674720;2307384;183680;183656;0.659680;0.629856;100000;0.313376;4.101312;0.319712;0.173356;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;5.008672;576846;3.603904;{8, 8, 2, 2, 2, 2, 7};2.145152;20.547487;10431944;{1,52,1320,3001,9187,33782,1560,};7;3509792;810960;28;28;28;2307384;2307384;2307384;2698748;2307384;195696;195668;0.746080;0.641984;100000;0.298208;4.641440;0.270144;0.173356;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;5.008672;576846;3.603904;{4, 4, 4, 4, 8, 7};2.143712;17.687712;10628824;{1,25,52,260,1320,1560,};6;3706672;1373352;24;24;24;2307384;2307384;2307384;2333248;2307384;12944;12920;0.750080;0.697376;100000;0.305376;4.006208;0.260992;0.000003;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;5.008672;576846;3.603904;{4, 4, 4, 4, 4, 4, 4, 3};2.184736;23.737152;10123376;{1,25,52,260,1320,9187,1560,46,};8;3201224;793976;32;32;32;2307384;2307384;2307384;2407152;2307384;49900;49868;0.903264;0.845440;100000;0.325600;5.278464;0.289760;0.000002;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;5.008672;576846;3.603904;{3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};2.479040;62.640575;11528328;{1,14,41,52,70,107,166,260,407,631,945,1320,1931,3001,5078,9187,17394,33782,66004,1560,1017,442,63,46,30,21,};26;4606176;1149400;104;104;104;2307384;2307384;2307384;3456464;2307384;574592;574488;2.302528;2.408512;100000;0.524416;17.294880;0.420224;0.000002;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;5.008672;576846;3.603904;{1, 10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};2.406816;47.884384;11539232;{1,4,166,260,407,631,945,1320,1931,3001,5078,9187,17394,33782,66004,1560,1017,442,63,46,30,21,};22;4617080;1162672;88;88;88;2307384;2307384;2307384;3454144;2307384;573424;573336;1.845248;1.557024;100000;0.456224;14.674944;0.401664;0.000002;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;5.008672;576846;3.603904;{1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};2.694208;70.654755;11529432;{1,4,8,14,25,32,38,41,52,70,107,166,260,407,631,945,1320,1931,3001,5078,9187,17394,33782,66004,1560,1017,442,63,46,30,21,};31;4607280;1149488;124;124;124;2307384;2307384;2307384;3457420;2307384;575080;574956;2.903680;2.932416;100000;0.617952;20.326784;0.471104;0.000007;
