deviceId;deviceName;Dictionary;Load;Count;Sort;Config;Reshape;Build;TreeMemory;TreeLevels;Depth;TreeMemoryUniqueOnly;ChildrenMemory;ChildrenCountsMemory;ScanMemory;PreScanMemory;PermuationMemory;LengthsMemory;MasksPartsMemory;ContainerSumMemory;ContainerItemsMemory;ContainerStartsMemory;ContainerLengthsMemory;Find;Match;RandomCount;RandomMatch;RandomSort;RandomSortedMatch;HitRate;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{8, 8, 8, 8};2.481216;20.775488;10260744;{1,41,945,1559,};4;3338592;1010712;16;16;16;2307384;2307384;2307384;2327832;2307384;10232;10216;60.266399;10.731200;100000;9.266080;5.814240;9.069152;0.000699;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{8, 8, 4, 4, 8};2.389696;25.598656;9719200;{1,41,945,5078,1559,};5;2797048;428512;20;20;20;2307384;2307384;2307384;2368476;2307384;30556;30536;35.453663;1.646944;100000;8.365792;4.874176;8.513120;0.000700;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{8, 8, 4, 2, 2, 8};2.516032;27.645311;9892952;{1,41,945,5078,17394,1559,};6;2970800;463080;24;24;24;2307384;2307384;2307384;2507648;2307384;100144;100120;34.906273;1.008064;100000;8.533248;7.050784;8.535712;0.000699;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{8, 8, 2, 2, 2, 2, 8};2.951936;30.563360;9893976;{1,41,945,1931,5078,17394,1559,};7;2971824;448624;28;28;28;2307384;2307384;2307384;2523116;2307384;107880;107852;26.833984;1.280544;100000;8.469920;8.675904;8.464384;0.000699;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{4, 4, 4, 4, 8, 8};2.592608;29.253984;10233464;{1,14,41,166,945,1559,};6;3311312;981928;24;24;24;2307384;2307384;2307384;2329312;2307384;10976;10952;60.440800;11.554976;100000;2.259104;7.195456;1.564864;0.000667;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{4, 4, 4, 4, 4, 4, 4, 4};2.470432;31.648865;9792104;{1,14,41,166,945,5078,1559,46,};8;2869952;499512;32;32;32;2307384;2307384;2307384;2370344;2307384;31496;31464;36.650368;1.831744;100000;1.855104;7.892672;0.684800;0.000667;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};3.082752;89.552513;10472752;{1,8,38,41,52,70,107,166,260,407,631,945,1320,1931,3001,5078,9187,17394,33779,1559,1017,442,63,46,30,21,21,};27;3550600;621432;108;108;108;2307384;2307384;2307384;2928844;2307384;310784;310676;8.874400;3.182464;100000;0.740096;25.007648;1.296128;0.000700;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{1, 10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};2.748032;82.421471;10476984;{1,2,107,166,260,407,631,945,1320,1931,3001,5078,9187,17394,33779,1559,1017,442,63,46,30,21,21,};23;3554832;627448;92;92;92;2307384;2307384;2307384;2927108;2307384;309908;309816;8.010656;1.562144;100000;1.095328;25.819872;0.769536;0.000678;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};2.764544;101.517410;10473712;{1,2,4,8,14,25,32,38,41,52,70,107,166,260,407,631,945,1320,1931,3001,5078,9187,17394,33779,1559,1017,442,63,46,30,21,21,};32;3551560;621616;128;128;128;2307384;2307384;2307384;2929560;2307384;311152;311024;8.654368;3.397856;100000;0.805216;35.970528;1.353536;0.000688;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2};4.539424;53.735680;9905456;{1,4,14,32,41,70,166,407,945,1931,5078,17394,1559,442,46,21,};16;2983304;450200;64;64;64;2307384;2307384;2307384;2532912;2307384;112796;112732;26.675392;1.553920;100000;0.541632;14.242656;0.464128;0.000666;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{3, 5, 4, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2};2.563936;57.069664;9905192;{1,8,41,166,945,1931,5078,17394,1559,1017,442,63,46,30,21,};15;2983040;445240;60;60;60;2307384;2307384;2307384;2537620;2307384;115148;115088;27.892897;2.705248;100000;2.068640;17.895905;0.846912;0.000659;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{1, 16, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1};2.603392;60.277760;10671104;{1,2,1320,3001,9187,33779,1559,1017,63,46,30,21,21,};13;3748952;1040776;52;52;52;2307384;2307384;2307384;2708020;2307384;200344;200292;34.337090;1.254976;100000;47.631454;12.005632;25.055616;0.000688;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{1, 16, 2, 2, 2, 1, 8};2.386240;31.356735;10631256;{1,2,1320,3001,9187,33779,1559,};7;3709104;1010704;28;28;28;2307384;2307384;2307384;2698316;2307384;195480;195452;34.459042;0.885728;100000;46.608158;7.943648;25.342272;0.000686;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{1, 16, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1};2.618496;50.392639;10670080;{1,2,1320,3001,9187,33779,1559,1017,442,63,46,30,21,21,};14;3747928;1036184;56;56;56;2307384;2307384;2307384;2711576;2307384;202124;202068;33.966625;1.488960;100000;48.008991;19.011135;24.896416;0.000688;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{3, 5, 4, 4, 2, 2, 2, 2, 8};2.414272;36.586910;9866744;{1,8,41,166,945,1931,5078,17394,1559,};9;2944592;419936;36;36;36;2307384;2307384;2307384;2524548;2307384;108600;108564;27.125759;1.132224;100000;0.724960;10.723552;0.672064;0.000659;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{3, 5, 4, 4, 2, 2, 2, 2, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1};2.782944;52.238560;9246240;{1,1,1,1,36,52,107,260,630,};9;2324088;7632;36;72;72;2307384;2307384;2307384;2316276;2307384;4464;4428;16.199392;8.598528;100000;8.760288;17.835775;8.217824;0.000655;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{16, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};2.753920;73.254814;10705536;{1,945,1320,1931,3001,5078,9187,17394,33779,1559,1017,442,63,46,30,21,21,};17;3783384;868776;68;68;68;2307384;2307384;2307384;2914404;2307384;303544;303476;21.609953;1.335136;100000;34.500736;16.938528;34.640865;0.000683;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{24, 1, 1, 1, 1, 1, 1, 1, 1};2.950272;44.217377;76389776;{1,1559,1017,442,63,46,30,21,21,};9;69467624;67134352;36;36;36;2307384;2307384;2307384;2333164;2307384;12908;12872;6145.436523;2739.900635;100000;2180.751221;12.109216;1168.461914;0.000751;
