deviceId;deviceName;Dictionary;Load;Count;Sort;Config;Reshape;Build;RandomCount;RandomMatch;RandomSort;RandomSortedMatch;HitRate;TreeMemory;TreeLevels;Depth;TreeMemoryUniqueOnly;ChildrenMemory;ChildrenCountsMemory;ScanMemory;PreScanMemory;PermuationMemory;LengthsMemory;MasksPartsMemory;ContainerSumMemory;ContainerItemsMemory;ContainerStartsMemory;ContainerLengthsMemory;AverageNodeSizesLevels;AverageNodeSize;TreeHeight;NodeSizeToHeightRatio;ItemsPerLevel;MaxItemsPerLevel;Find;Match;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.08634;576846;4.03446;{22, 1, 9};1.85866;19.3284;100000;452.121;2.83341;430.718;0.000705561;26555408;{1,17394,33779,};3;19633256;16916384;12;12;12;2307384;2307384;2307384;2716836;2307384;204732;204720;203991, 3.17362, 9.40386, ;11.2722;3;3.75742;{203991, 55202, 317653, };317653;0;29.1916;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.08634;576846;4.03446;{21, 2, 1, 8};1.80259;19.2516;100000;292.847;3.81459;293.55;0.000705561;18391728;{1,9187,33779,1559,};4;11469576;8805856;16;16;16;2307384;2307384;2307384;2663672;2307384;178152;178136;140200, 12.9523, 9.35756, 1.00321, ;12.9553;4;3.23882;{140200, 118993, 316089, 1564, };316089;0;0.820192;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.08634;576846;4.03446;{20, 2, 1, 1, 8};1.6665;20.2838;100000;199.49;4.35808;198.451;0.000705561;14377152;{1,5078,17394,33779,1559,};5;7455000;4684968;20;20;20;2307384;2307384;2307384;2769972;2307384;231304;231284;100119, 20.4553, 3.17362, 9.35756, 1.00321, ;9.97814;5;1.99563;{100119, 103872, 55202, 316089, 1564, };316089;0;0.763104;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.08634;576846;4.03446;{20, 1, 1, 1, 1, 8};1.58624;24.1171;100000;199.328;4.85245;199.893;0.000705561;14483560;{1,5078,9187,17394,33779,1559,};6;7561408;4717848;24;24;24;2307384;2307384;2307384;2843488;2307384;268064;268040;100119, 7.89307, 6.94362, 3.17362, 9.35756, 1.00321, ;8.6099;6;1.43498;{100119, 40081, 63791, 55202, 316089, 1564, };316089;0;0.847552;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.08634;576846;4.03446;{1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};2.1455;83.7463;100000;0.527776;24.7565;0.538272;0.000705561;10473712;{1,2,4,8,14,25,32,38,41,52,70,107,166,260,407,631,945,1320,1931,3001,5078,9187,17394,33779,1559,1017,442,63,46,30,21,21,};32;3551560;621616;128;128;128;2307384;2307384;2307384;2929560;2307384;311152;311024;0, 0, 0, 0, 0, 0, 0, 0.421053, 0.317073, 0.692308, 1.42857, 2.47664, 3.04819, 3.90769, 4.34889, 20.561, 7.84233, 9.54848, 13.2429, 12.6078, 7.89307, 6.94362, 3.17362, 9.35756, 0.350866, 0.565388, 0.857466, 0.269841, 0.347826, 0.3, 0, 1, ;7.42478;32;0.232024;{0, 0, 0, 0, 0, 0, 0, 16, 13, 36, 100, 265, 506, 1016, 1770, 12974, 7411, 12604, 25572, 37836, 40081, 63791, 55202, 316089, 547, 575, 379, 17, 16, 9, 0, 21, };316089;0;3.12598;
