deviceId;deviceName;Dictionary;Load;Count;Sort;Seed;Config;Reshape;Build;RandomCount;RandomMatch;RandomSort;RandomSortedMatch;HitRate;TreeMemory;TreeLevels;Depth;TreeMemoryUniqueOnly;ChildrenMemory;ChildrenCountsMemory;ScanMemory;PreScanMemory;PermuationMemory;LengthsMemory;MasksPartsMemory;ContainerSumMemory;ContainerItemsMemory;ContainerStartsMemory;ContainerLengthsMemory;AverageNodeSizesLevels;AverageNodeSize;TreeHeight;NodeSizeToHeightRatio;ItemsPerLevel;MaxItemsPerLevel;Find;Match;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{13, 9, 10};1.63456;15.8374;100000;5.39126;2.82653;5.37098;0.000672623;9936136;{1,260,17394,};3;3013984;565264;12;12;12;2307384;2307384;2307384;2448684;2307384;70656;70644;936, 780.981, 21.4358, ;32.6732;3;10.8911;{936, 203055, 372855, };372855;0;1.35517;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{7, 14, 11};1.72182;15.7421;100000;66.8556;2.90122;66.8188;0.000672623;11794336;{1,38,9187,};3;4872184;2490896;12;12;12;2307384;2307384;2307384;2381252;2307384;36940;36928;0, 3689.47, 47.5287, ;62.524;3;20.8413;{0, 140200, 436646, };436646;0;1.20646;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{8, 12, 12};1.62502;16.0002;100000;47.5831;3.10358;47.7918;0.000672623;9943376;{1,41,5078,};3;3021224;672784;12;12;12;2307384;2307384;2307384;2348404;2307384;20516;20504;16, 2441.54, 93.8809, ;112.665;3;37.5551;{16, 100103, 476727, };476727;0;1.57629;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{5, 11, 16};2.31501;14.9932;100000;8.90851;2.85878;8.82352;0.000672623;9442344;{1,25,945,};3;2520192;204944;12;12;12;2307384;2307384;2307384;2315212;2307384;3920;3908;0, 667.84, 592.751, ;594.074;3;198.025;{0, 16696, 560150, };560150;0;10.8117;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{3, 14, 15};1.71619;16.9585;100000;12.5861;3.06368;12.5454;0.000672623;9764600;{1,8,1320,};3;2842448;524336;12;12;12;2307384;2307384;2307384;2318076;2307384;5352;5340;0, 3013.38, 418.742, ;434.045;3;144.682;{0, 24107, 552739, };552739;0;6.09229;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{7, 9, 16};1.72234;15.0765;100000;9.13341;2.96672;9.14256;0.000672623;9315856;{1,38,945,};3;2393704;78352;12;12;12;2307384;2307384;2307384;2315316;2307384;3972;3960;0, 439.368, 592.751, ;586.226;3;195.409;{0, 16696, 560150, };560150;0;10.591;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{11, 5, 16};1.57997;15.2995;100000;1.52826;2.75667;1.50509;0.000672623;9259960;{1,107,945,};3;2337808;21904;12;12;12;2307384;2307384;2307384;2315868;2307384;4248;4236;165, 154.495, 592.751, ;547.812;3;182.604;{165, 16531, 560150, };560150;0;10.7194;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{14, 10, 8};2.25485;15.4441;100000;9.27312;2.91133;9.26029;0.000672623;10977992;{1,407,1559,};3;4055840;1732624;12;12;12;2307384;2307384;2307384;2323180;2307384;7904;7892;1952, 1408.67, 1.00321, ;293.262;3;97.7539;{1952, 573330, 1564, };573330;0;27.0853;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{2, 16, 14};1.65824;15.9395;100000;19.1069;3.1623;19.1958;0.000672623;10293728;{1,4,1931,};3;3371576;1048608;12;12;12;2307384;2307384;2307384;2322932;2307384;7780;7768;0, 9177.75, 279.718, ;297.958;3;99.3192;{0, 36711, 540135, };540135;0;3.67446;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{12, 5, 15};1.83696;15.6239;100000;1.5239;2.91834;1.5303;0.000672623;9279176;{1,166,1320,};3;2357024;37648;12;12;12;2307384;2307384;2307384;2319340;2307384;5984;5972;430, 142.633, 418.742, ;387.926;3;129.309;{430, 23677, 552739, };552739;0;6.04077;
